player_id,goals,goal_assist,appearances,mins_played,yellow_card,red_card,total_sub_on,total_sub_off
115748.0,1.0,3.0,25.0,1488.0,3.0,0.0,7.0,13.0
52102.0,1.0,4.0,17.0,769.0,1.0,0.0,10.0,3.0
47195.0,1.0,1.0,24.0,1762.0,4.0,0.0,3.0,12.0
162020.0,1.0,0.0,20.0,1347.0,0.0,0.0,5.0,10.0
160897.0,1.0,2.0,24.0,687.0,1.0,0.0,19.0,5.0
129760.0,1.0,1.0,11.0,439.0,1.0,0.0,6.0,4.0
134321.0,1.0,1.0,30.0,2193.0,2.0,0.0,4.0,14.0
160054.0,1.0,3.0,27.0,1755.0,7.0,0.0,8.0,6.0
94350.0,1.0,1.0,15.0,374.0,1.0,0.0,12.0,3.0
31757.0,1.0,0.0,21.0,1812.0,4.0,0.0,0.0,2.0
135175.0,1.0,2.0,26.0,2102.0,9.0,1.0,2.0,4.0
51340.0,1.0,0.0,21.0,1673.0,2.0,0.0,3.0,4.0
44159.0,1.0,0.0,29.0,2598.0,5.0,0.0,0.0,1.0
161345.0,1.0,1.0,32.0,2880.0,4.0,0.0,0.0,0.0
130672.0,1.0,0.0,20.0,1474.0,3.0,0.0,4.0,3.0
43049.0,1.0,0.0,9.0,704.0,0.0,0.0,1.0,1.0
143584.0,1.0,1.0,30.0,2468.0,4.0,0.0,3.0,2.0
10292.0,1.0,1.0,32.0,2880.0,7.0,0.0,0.0,0.0
153012.0,1.0,0.0,11.0,901.0,1.0,0.0,1.0,0.0
43997.0,1.0,0.0,20.0,713.0,0.0,0.0,14.0,4.0
144579.0,1.0,0.0,31.0,2607.0,6.0,0.0,0.0,10.0
6577.0,1.0,2.0,18.0,1448.0,1.0,0.0,0.0,11.0
132927.0,1.0,4.0,24.0,1502.0,1.0,0.0,4.0,14.0
162021.0,1.0,2.0,21.0,971.0,2.0,0.0,10.0,11.0
51703.0,1.0,2.0,29.0,2507.0,4.0,0.0,1.0,1.0
30598.0,1.0,1.0,12.0,869.0,3.0,0.0,3.0,3.0
50135.0,1.0,8.0,29.0,2529.0,1.0,0.0,1.0,3.0
180046.0,1.0,1.0,16.0,676.0,1.0,0.0,7.0,7.0
18957.0,1.0,1.0,10.0,657.0,1.0,0.0,2.0,3.0
179281.0,1.0,0.0,8.0,587.0,0.0,0.0,2.0,1.0
133641.0,1.0,6.0,32.0,2705.0,7.0,0.0,2.0,3.0
132770.0,1.0,0.0,6.0,175.0,0.0,0.0,4.0,1.0
52240.0,1.0,2.0,28.0,2073.0,3.0,0.0,5.0,7.0
136255.0,1.0,1.0,30.0,2700.0,4.0,0.0,0.0,0.0
93962.0,1.0,0.0,8.0,41.0,0.0,0.0,8.0,0.0
19041.0,1.0,3.0,23.0,2003.0,2.0,1.0,1.0,1.0
160029.0,1.0,2.0,24.0,1972.0,3.0,0.0,0.0,5.0
18843.0,1.0,1.0,32.0,2880.0,9.0,0.0,0.0,0.0
6363.0,1.0,1.0,24.0,1869.0,4.0,0.0,2.0,11.0
51519.0,1.0,1.0,18.0,1584.0,5.0,0.0,0.0,2.0
135116.0,1.0,0.0,15.0,1293.0,3.0,0.0,0.0,2.0
131752.0,1.0,1.0,24.0,1371.0,4.0,0.0,9.0,7.0
30557.0,1.0,1.0,18.0,976.0,0.0,0.0,7.0,6.0
6505.0,1.0,1.0,19.0,1545.0,2.0,0.0,1.0,3.0
132044.0,1.0,0.0,16.0,1227.0,2.0,0.0,2.0,2.0
46933.0,1.0,0.0,14.0,419.0,2.0,0.0,10.0,3.0
93725.0,1.0,2.0,21.0,1071.0,1.0,0.0,7.0,13.0
50015.0,1.0,2.0,23.0,1988.0,4.0,0.0,0.0,3.0
180200.0,1.0,1.0,6.0,90.0,0.0,0.0,6.0,0.0
161377.0,1.0,0.0,13.0,786.0,5.0,0.0,4.0,5.0
21858.0,1.0,0.0,22.0,672.0,1.0,0.0,15.0,6.0
33511.0,1.0,0.0,13.0,774.0,3.0,0.0,5.0,1.0
129762.0,0.0,1.0,16.0,1439.0,1.0,1.0,0.0,0.0
135262.0,0.0,0.0,28.0,2419.0,5.0,0.0,0.0,2.0
94007.0,0.0,1.0,20.0,1373.0,3.0,1.0,4.0,3.0
133133.0,0.0,0.0,29.0,2559.0,2.0,1.0,0.0,1.0
160422.0,0.0,2.0,19.0,1502.0,2.0,0.0,1.0,5.0
133644.0,0.0,2.0,23.0,1444.0,2.0,0.0,6.0,14.0
134381.0,0.0,0.0,15.0,634.0,1.0,0.0,9.0,5.0
30925.0,0.0,1.0,28.0,2520.0,3.0,0.0,0.0,0.0
91041.0,0.0,2.0,31.0,2790.0,5.0,0.0,0.0,0.0
52266.0,0.0,0.0,24.0,2070.0,5.0,0.0,1.0,1.0
128164.0,0.0,0.0,23.0,1843.0,4.0,0.0,2.0,3.0
135589.0,0.0,0.0,22.0,1803.0,5.0,0.0,3.0,1.0
130624.0,0.0,7.0,30.0,2113.0,4.0,0.0,7.0,6.0
134236.0,0.0,6.0,28.0,2425.0,3.0,0.0,0.0,4.0
96594.0,0.0,4.0,15.0,545.0,1.0,0.0,11.0,1.0
135654.0,0.0,4.0,21.0,1441.0,5.0,0.0,6.0,5.0
161548.0,0.0,4.0,21.0,1640.0,3.0,0.0,4.0,3.0
159994.0,0.0,4.0,29.0,2601.0,5.0,0.0,0.0,1.0
13981.0,0.0,3.0,15.0,560.0,1.0,0.0,11.0,2.0
44017.0,0.0,3.0,18.0,735.0,2.0,0.0,12.0,3.0
93882.0,0.0,3.0,15.0,783.0,0.0,0.0,6.0,6.0
144363.0,0.0,3.0,24.0,1912.0,4.0,0.0,3.0,0.0
52229.0,0.0,3.0,31.0,2678.0,5.0,0.0,0.0,10.0
160313.0,0.0,3.0,18.0,1363.0,1.0,0.0,3.0,2.0
32098.0,0.0,3.0,10.0,692.0,0.0,0.0,3.0,2.0
161456.0,0.0,2.0,24.0,747.0,0.0,0.0,16.0,8.0
133548.0,0.0,2.0,20.0,760.0,2.0,0.0,12.0,7.0
20262.0,0.0,2.0,27.0,2397.0,7.0,0.0,0.0,3.0
160682.0,0.0,2.0,17.0,1161.0,0.0,0.0,5.0,9.0
14109.0,0.0,2.0,16.0,1071.0,4.0,0.0,4.0,2.0
129761.0,0.0,2.0,22.0,1787.0,5.0,0.0,2.0,2.0
154432.0,0.0,2.0,23.0,1900.0,7.0,0.0,2.0,2.0
52087.0,0.0,2.0,18.0,1068.0,1.0,0.0,7.0,2.0
30562.0,0.0,2.0,21.0,1712.0,1.0,2.0,1.0,1.0
44026.0,0.0,2.0,19.0,1217.0,3.0,0.0,5.0,4.0
26151.0,0.0,2.0,21.0,1229.0,0.0,0.0,9.0,6.0
19415.0,0.0,2.0,16.0,1244.0,3.0,1.0,2.0,0.0
7431.0,0.0,2.0,18.0,743.0,1.0,0.0,10.0,6.0
128282.0,0.0,2.0,16.0,1265.0,2.0,0.0,1.0,4.0
133647.0,0.0,2.0,21.0,1794.0,6.0,0.0,0.0,4.0
160312.0,0.0,2.0,14.0,1231.0,2.0,0.0,0.0,3.0
133868.0,0.0,1.0,29.0,2610.0,7.0,0.0,0.0,0.0
180108.0,0.0,1.0,16.0,1309.0,1.0,0.0,0.0,4.0
51275.0,0.0,1.0,15.0,1350.0,4.0,0.0,0.0,0.0
161350.0,0.0,1.0,23.0,2070.0,1.0,0.0,0.0,0.0
50016.0,0.0,1.0,17.0,798.0,1.0,0.0,8.0,7.0
51513.0,0.0,1.0,11.0,815.0,0.0,0.0,2.0,1.0
162156.0,0.0,1.0,6.0,276.0,0.0,1.0,3.0,1.0
131780.0,0.0,1.0,24.0,1748.0,6.0,0.0,5.0,4.0
90860.0,0.0,1.0,30.0,2626.0,5.0,0.0,1.0,1.0
32203.0,0.0,1.0,8.0,608.0,1.0,0.0,1.0,2.0
159737.0,0.0,1.0,6.0,380.0,1.0,0.0,2.0,0.0
21247.0,0.0,1.0,19.0,1550.0,0.0,0.0,2.0,3.0
135591.0,0.0,1.0,21.0,1299.0,2.0,1.0,8.0,1.0
43047.0,0.0,1.0,10.0,777.0,1.0,0.0,1.0,1.0
22919.0,0.0,1.0,17.0,1530.0,2.0,0.0,0.0,0.0
6723.0,0.0,1.0,26.0,2156.0,6.0,2.0,2.0,3.0
50136.0,0.0,1.0,15.0,1142.0,4.0,0.0,2.0,2.0
32140.0,0.0,1.0,16.0,963.0,2.0,0.0,7.0,6.0
31289.0,0.0,1.0,15.0,910.0,3.0,1.0,5.0,2.0
51329.0,0.0,1.0,15.0,1153.0,1.0,0.0,2.0,3.0
135240.0,0.0,1.0,25.0,1819.0,5.0,0.0,3.0,9.0
34877.0,0.0,1.0,11.0,890.0,1.0,0.0,2.0,0.0
159677.0,0.0,1.0,9.0,316.0,0.0,0.0,5.0,4.0
144514.0,0.0,1.0,30.0,2700.0,0.0,0.0,0.0,0.0
133131.0,0.0,1.0,22.0,1915.0,0.0,1.0,0.0,1.0
160652.0,0.0,1.0,4.0,231.0,0.0,0.0,1.0,3.0
10050.0,0.0,1.0,20.0,1740.0,7.0,0.0,0.0,3.0
144510.0,0.0,1.0,26.0,1245.0,1.0,0.0,14.0,4.0
10205.0,0.0,1.0,27.0,2126.0,7.0,0.0,3.0,4.0
26145.0,0.0,1.0,24.0,2006.0,7.0,0.0,0.0,5.0
46991.0,0.0,1.0,15.0,1296.0,2.0,0.0,0.0,1.0
161549.0,0.0,0.0,12.0,873.0,3.0,0.0,3.0,0.0
160103.0,0.0,0.0,11.0,362.0,2.0,0.0,8.0,2.0
94133.0,0.0,0.0,10.0,681.0,1.0,0.0,1.0,6.0
180000.0,0.0,0.0,21.0,979.0,5.0,0.0,13.0,2.0
90987.0,0.0,0.0,25.0,1689.0,8.0,0.0,5.0,9.0
31993.0,0.0,0.0,32.0,2880.0,3.0,0.0,0.0,0.0
6011.0,0.0,0.0,32.0,2880.0,2.0,0.0,0.0,0.0
131750.0,0.0,0.0,32.0,2880.0,0.0,0.0,0.0,0.0
130759.0,0.0,0.0,32.0,2880.0,1.0,0.0,0.0,0.0
30984.0,0.0,0.0,32.0,2880.0,0.0,0.0,0.0,0.0
46676.0,0.0,0.0,32.0,2880.0,0.0,0.0,0.0,0.0
15123.0,0.0,0.0,31.0,2710.0,4.0,0.0,0.0,8.0
129737.0,0.0,0.0,31.0,2790.0,0.0,0.0,0.0,0.0
46085.0,0.0,0.0,31.0,2790.0,1.0,0.0,0.0,0.0
11230.0,0.0,0.0,31.0,2790.0,2.0,0.0,0.0,0.0
49709.0,0.0,0.0,30.0,2616.0,1.0,0.0,0.0,6.0
129845.0,0.0,0.0,30.0,2650.0,2.0,0.0,0.0,1.0
15257.0,0.0,0.0,29.0,2490.0,7.0,0.0,1.0,2.0
129756.0,0.0,0.0,29.0,2610.0,1.0,0.0,0.0,0.0
160755.0,0.0,0.0,29.0,2610.0,2.0,0.0,0.0,0.0
133649.0,0.0,0.0,29.0,2610.0,4.0,0.0,0.0,0.0
44029.0,0.0,0.0,28.0,2442.0,3.0,1.0,0.0,0.0
135192.0,0.0,0.0,27.0,2430.0,0.0,0.0,0.0,0.0
161558.0,0.0,0.0,27.0,1333.0,7.0,0.0,14.0,4.0
130050.0,0.0,0.0,26.0,2090.0,7.0,0.0,3.0,2.0
160773.0,0.0,0.0,25.0,1763.0,4.0,0.0,6.0,9.0
140935.0,0.0,0.0,24.0,1401.0,3.0,0.0,10.0,2.0
55835.0,0.0,0.0,23.0,2016.0,2.0,1.0,0.0,1.0
30669.0,0.0,0.0,22.0,1184.0,4.0,0.0,9.0,5.0
48228.0,0.0,0.0,22.0,1772.0,5.0,0.0,2.0,4.0
90844.0,0.0,0.0,22.0,1980.0,0.0,0.0,0.0,0.0
41538.0,0.0,0.0,21.0,1414.0,3.0,0.0,6.0,0.0
14011.0,0.0,0.0,21.0,1479.0,7.0,0.0,4.0,4.0
160772.0,0.0,0.0,20.0,1795.0,0.0,0.0,0.0,1.0
58929.0,0.0,0.0,20.0,891.0,3.0,0.0,11.0,9.0
